,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
3,0.46875,0.175,0.46875,0.175,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5625,0.425,0.71875,0.475,gen_binary_any,adj_negiszero,same_true
4,0.6875,0.4979166666666666,0.6875,0.4979166666666666,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.3125,0.38125000000000003,gen_binary_any,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.35714285714285715,0.22777777777777777,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5625,0.425,0.47619047619047616,0.4027777777777778,gen_binary_any,adj_negiszero,same_false
1,,0.5,0.7291666666666666,0.75,,0.5,0.375,0.4,,0.5,0.375,0.4,,0.5,0.3125,0.38125000000000003,gen_binary_any,adj_negiszero,same_false
2,0.5833333333333333,0.6833333333333333,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.6666666666666667,0.6375,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_any,adj_negiszero,same_false
3,0.40625,0.15416666666666667,0.9523809523809523,0.9027777777777777,0.53125,0.4125,0.14285714285714285,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.2857142857142857,0.2,gen_binary_any,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.4375,0.4375,0.56,0.6300000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_any,adj_negiszero,same_false
0,0.5476190476190477,0.7904761904761903,0.5476190476190477,0.7904761904761903,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.5476190476190477,0.7892857142857143,0.45238095238095244,0.7581632653061224,gen_binary_selfzero,adj_negispos,same_true
1,0.8400000000000001,0.7766666666666666,0.8400000000000001,0.7766666666666666,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.09999999999999998,0.25,0.15999999999999998,0.3352380952380952,gen_binary_selfzero,adj_negispos,same_true
2,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5952380952380952,0.8071428571428572,0.5952380952380952,0.8071428571428572,gen_binary_selfzero,adj_negispos,same_true
3,0.5833333333333333,0.6986111111111111,0.5833333333333333,0.6986111111111111,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.4583333333333333,0.6382936507936507,0.4583333333333333,0.6382936507936507,0.41666666666666663,0.6166666666666667,0.5416666666666667,0.6718253968253969,gen_binary_selfzero,adj_negispos,same_true
4,0.4523809523809524,0.6238095238095237,0.4523809523809524,0.6238095238095237,0.40476190476190477,0.7408163265306122,0.40476190476190477,0.7408163265306122,0.5,0.7663265306122449,0.5,0.7663265306122449,0.5476190476190477,0.7892857142857143,0.5952380952380952,0.8071428571428572,gen_binary_selfzero,adj_negispos,same_true
0,0.6428571428571428,0.8642857142857141,0.44000000000000006,0.5549999999999999,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.7380952380952381,0.8468537414965986,0.44,0.5863888888888888,0.5476190476190477,0.7892857142857143,0.4800000000000001,0.5900000000000001,gen_binary_selfzero,adj_negispos,same_false
1,0.9600000000000001,0.9633333333333334,0.25,0.7645833333333334,0.15999999999999998,0.3368253968253968,0.9375,0.9852430555555556,0.15999999999999998,0.3368253968253968,0.875,0.9685019841269842,0.09999999999999998,0.25,0.625,0.9,gen_binary_selfzero,adj_negispos,same_false
2,0.4523809523809524,0.7476190476190476,0.46875,0.7916666666666666,0.5476190476190477,0.7922619047619048,0.53125,0.839608134920635,0.6428571428571429,0.8160997732426304,0.46875,0.8268353174603174,0.5952380952380952,0.8071428571428572,0.46875,0.825,gen_binary_selfzero,adj_negispos,same_false
3,0.625,0.7680555555555555,0.761904761904762,0.907142857142857,0.5,0.6545634920634921,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6314814814814815,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6166666666666667,0.33333333333333337,0.6642857142857141,gen_binary_selfzero,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfzero,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.46875,0.39821428571428574,gen_binary_selfzero,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfzero,adj_negiszero,same_true
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,0.5,0.5583333333333333,0.5,0.5583333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfzero,adj_negiszero,same_true
3,0.46875,0.175,0.46875,0.175,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5625,0.425,0.71875,0.475,gen_binary_selfzero,adj_negiszero,same_true
4,0.6875,0.4979166666666666,0.6875,0.4979166666666666,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.3125,0.38125000000000003,gen_binary_selfzero,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.35714285714285715,0.22777777777777777,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5625,0.425,0.47619047619047616,0.4027777777777778,gen_binary_selfzero,adj_negiszero,same_false
1,,0.5,0.7291666666666666,0.75,,0.5,0.375,0.4,,0.5,0.375,0.4,,0.5,0.3125,0.38125000000000003,gen_binary_selfzero,adj_negiszero,same_false
2,0.5833333333333333,0.6833333333333333,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.6666666666666667,0.6375,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfzero,adj_negiszero,same_false
3,0.40625,0.15416666666666667,0.9523809523809523,0.9027777777777777,0.53125,0.4125,0.14285714285714285,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.2857142857142857,0.2,gen_binary_selfzero,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.4375,0.4375,0.56,0.6300000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfzero,adj_negiszero,same_false
0,0.5476190476190477,0.7904761904761903,0.5476190476190477,0.7904761904761903,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.5476190476190477,0.7892857142857143,0.45238095238095244,0.7581632653061224,gen_binary_selfone,adj_negispos,same_true
1,0.8400000000000001,0.7766666666666666,0.8400000000000001,0.7766666666666666,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.09999999999999998,0.25,0.15999999999999998,0.3352380952380952,gen_binary_selfone,adj_negispos,same_true
2,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5952380952380952,0.8071428571428572,0.5952380952380952,0.8071428571428572,gen_binary_selfone,adj_negispos,same_true
3,0.5833333333333333,0.6986111111111111,0.5833333333333333,0.6986111111111111,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.4583333333333333,0.6382936507936507,0.4583333333333333,0.6382936507936507,0.41666666666666663,0.6166666666666667,0.5416666666666667,0.6718253968253969,gen_binary_selfone,adj_negispos,same_true
4,0.4523809523809524,0.6238095238095237,0.4523809523809524,0.6238095238095237,0.40476190476190477,0.7408163265306122,0.40476190476190477,0.7408163265306122,0.5,0.7663265306122449,0.5,0.7663265306122449,0.5476190476190477,0.7892857142857143,0.5952380952380952,0.8071428571428572,gen_binary_selfone,adj_negispos,same_true
0,0.6428571428571428,0.8642857142857141,0.44000000000000006,0.5549999999999999,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.7380952380952381,0.8468537414965986,0.44,0.5863888888888888,0.5476190476190477,0.7892857142857143,0.4800000000000001,0.5900000000000001,gen_binary_selfone,adj_negispos,same_false
1,0.9600000000000001,0.9633333333333334,0.25,0.7645833333333334,0.15999999999999998,0.3368253968253968,0.9375,0.9852430555555556,0.15999999999999998,0.3368253968253968,0.875,0.9685019841269842,0.09999999999999998,0.25,0.625,0.9,gen_binary_selfone,adj_negispos,same_false
2,0.4523809523809524,0.7476190476190476,0.46875,0.7916666666666666,0.5476190476190477,0.7922619047619048,0.53125,0.839608134920635,0.6428571428571429,0.8160997732426304,0.46875,0.8268353174603174,0.5952380952380952,0.8071428571428572,0.46875,0.825,gen_binary_selfone,adj_negispos,same_false
3,0.625,0.7680555555555555,0.761904761904762,0.907142857142857,0.5,0.6545634920634921,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6314814814814815,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6166666666666667,0.33333333333333337,0.6642857142857141,gen_binary_selfone,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfone,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.46875,0.39821428571428574,gen_binary_selfone,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfone,adj_negiszero,same_true
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,0.5,0.5583333333333333,0.5,0.5583333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfone,adj_negiszero,same_true
3,0.46875,0.175,0.46875,0.175,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5625,0.425,0.71875,0.475,gen_binary_selfone,adj_negiszero,same_true
4,0.6875,0.4979166666666666,0.6875,0.4979166666666666,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.3125,0.38125000000000003,gen_binary_selfone,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.35714285714285715,0.22777777777777777,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5625,0.425,0.47619047619047616,0.4027777777777778,gen_binary_selfone,adj_negiszero,same_false
1,,0.5,0.7291666666666666,0.75,,0.5,0.375,0.4,,0.5,0.375,0.4,,0.5,0.3125,0.38125000000000003,gen_binary_selfone,adj_negiszero,same_false
2,0.5833333333333333,0.6833333333333333,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.6666666666666667,0.6375,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfone,adj_negiszero,same_false
3,0.40625,0.15416666666666667,0.9523809523809523,0.9027777777777777,0.53125,0.4125,0.14285714285714285,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.2857142857142857,0.2,gen_binary_selfone,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.4375,0.4375,0.56,0.6300000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfone,adj_negiszero,same_false
0,0.5476190476190477,0.7904761904761903,0.5476190476190477,0.7904761904761903,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.6428571428571429,0.8160997732426304,0.5476190476190477,0.7892857142857143,0.45238095238095244,0.7581632653061224,gen_binary_selfextra,adj_negispos,same_true
1,0.8400000000000001,0.7766666666666666,0.8400000000000001,0.7766666666666666,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.07999999999999999,0.3157936507936508,0.09999999999999998,0.25,0.15999999999999998,0.3352380952380952,gen_binary_selfextra,adj_negispos,same_true
2,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5952380952380952,0.8071428571428572,0.5952380952380952,0.8071428571428572,gen_binary_selfextra,adj_negispos,same_true
3,0.5833333333333333,0.6986111111111111,0.5833333333333333,0.6986111111111111,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.4583333333333333,0.6382936507936507,0.4583333333333333,0.6382936507936507,0.41666666666666663,0.6166666666666667,0.5416666666666667,0.6718253968253969,gen_binary_selfextra,adj_negispos,same_true
4,0.4523809523809524,0.6238095238095237,0.4523809523809524,0.6238095238095237,0.40476190476190477,0.7408163265306122,0.40476190476190477,0.7408163265306122,0.5,0.7663265306122449,0.5,0.7663265306122449,0.5476190476190477,0.7892857142857143,0.5952380952380952,0.8071428571428572,gen_binary_selfextra,adj_negispos,same_true
0,0.6428571428571428,0.8642857142857141,0.44000000000000006,0.5549999999999999,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.7380952380952381,0.8468537414965986,0.44,0.5863888888888888,0.5476190476190477,0.7892857142857143,0.4800000000000001,0.5900000000000001,gen_binary_selfextra,adj_negispos,same_false
1,0.9600000000000001,0.9633333333333334,0.25,0.7645833333333334,0.15999999999999998,0.3368253968253968,0.9375,0.9852430555555556,0.15999999999999998,0.3368253968253968,0.875,0.9685019841269842,0.09999999999999998,0.25,0.625,0.9,gen_binary_selfextra,adj_negispos,same_false
2,0.4523809523809524,0.7476190476190476,0.46875,0.7916666666666666,0.5476190476190477,0.7922619047619048,0.53125,0.839608134920635,0.6428571428571429,0.8160997732426304,0.46875,0.8268353174603174,0.5952380952380952,0.8071428571428572,0.46875,0.825,gen_binary_selfextra,adj_negispos,same_false
3,0.625,0.7680555555555555,0.761904761904762,0.907142857142857,0.5,0.6545634920634921,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6314814814814815,0.2857142857142857,0.6586734693877551,0.41666666666666663,0.6166666666666667,0.33333333333333337,0.6642857142857141,gen_binary_selfextra,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.40476190476190477,0.7408163265306122,0.40625,0.8126984126984127,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfextra,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.46875,0.39821428571428574,gen_binary_selfextra,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfextra,adj_negiszero,same_true
